Order_ID,Restaurant_Name,Cuisine,Order_Date,Order_Time,Delivery_Time_Minutes,Order_Value,Payment_Method,Customer_Rating,City
ORD0001,Curry Delight,Indian,01-01-2022,10:45,53,758.05,Wallet,4.4,Hyderabad
ORD0002,Spice Villa,Indian,01-01-2022,11:01,57,1350.44,Debit Card,3.3,Kolkata
ORD0003,Pasta Paradise,Indian,02-01-2022,14:23,41,1004.29,Wallet,3.2,Chennai
ORD0004,Pizza Plaza,Japanese,02-01-2022,21:55,22,1126.21,Debit Card,2.7,Chennai
ORD0005,Curry Delight,Mexican,03-01-2022,22:36,36,158.98,UPI,4.8,Bangalore
ORD0006,Curry Delight,Mexican,03-01-2022,23:46,34,1933.14,Debit Card,2.3,Hyderabad
ORD0007,Curry Delight,American,04-01-2022,22:41,51,551.07,Credit Card,3.8,Delhi
ORD0008,Spice Villa,American,04-01-2022,16:52,15,1954.5,Wallet,4.8,Chennai
ORD0009,Burger Town,Indian,05-01-2022,12:21,48,819.31,Wallet,4.9,Mumbai
ORD0010,Burger Town,American,05-01-2022,13:16,20,1522.4,Wallet,3.7,Chennai
ORD0011,Pizza Plaza,American,06-01-2022,12:17,20,1909.3,UPI,3.4,Bangalore
ORD0012,Sushi World,American,06-01-2022,11:07,39,1966.5,UPI,3.9,Mumbai
ORD0013,Burger Town,American,07-01-2022,13:32,50,694.57,UPI,4.9,Delhi
ORD0014,Spice Villa,American,07-01-2022,19:32,21,1485.66,Cash,3.9,Kolkata
ORD0015,Spice Villa,Italian,08-01-2022,20:15,55,1232.56,Debit Card,4.5,Bangalore
ORD0016,Sushi World,Italian,08-01-2022,14:46,38,1810.75,Wallet,1.4,Kolkata
ORD0017,Spice Villa,Japanese,09-01-2022,17:47,35,627.11,Debit Card,1.3,Mumbai
ORD0018,Curry Delight,Japanese,09-01-2022,22:27,51,1909.01,Debit Card,1.5,Mumbai
ORD0019,Pizza Plaza,Mexican,10-01-2022,13:30,60,537.76,Cash,1.9,Delhi
ORD0020,Curry Delight,Mexican,10-01-2022,21:49,35,778,Cash,4.8,Hyderabad
ORD0021,Sushi World,Mexican,11-01-2022,13:57,20,178.67,Debit Card,3.6,Kolkata
ORD0022,Spice Villa,Chinese,11-01-2022,22:23,58,242.12,Debit Card,3.3,Hyderabad
ORD0023,Pizza Plaza,Italian,12-01-2022,23:56,47,222.39,Cash,1.7,Hyderabad
ORD0024,Pizza Plaza,Italian,12-01-2022,13:17,27,804.98,Wallet,2.7,Mumbai
ORD0025,Pasta Paradise,Indian,13-01-2022,14:43,20,1683.85,Debit Card,5,Kolkata
ORD0026,Pasta Paradise,Mexican,13-01-2022,14:02,50,991.03,Cash,3.4,Chennai
ORD0027,Sushi World,Indian,14-01-2022,17:01,23,765.88,Wallet,4.4,Hyderabad
ORD0028,Spice Villa,Mexican,14-01-2022,15:15,50,522.89,UPI,4.3,Hyderabad
ORD0029,Spice Villa,Indian,15-01-2022,15:04,33,102.83,Cash,2.6,Delhi
ORD0030,Spice Villa,Indian,15-01-2022,16:44,24,760.97,UPI,3.8,Delhi
ORD0031,Spice Villa,Japanese,16-01-2022,18:19,30,580.13,Debit Card,1.7,Bangalore
ORD0032,Burger Town,Japanese,16-01-2022,22:45,47,1291.36,Credit Card,3.6,Bangalore
ORD0033,Sushi World,Mexican,17-01-2022,23:23,29,577.08,Cash,4.8,Delhi
ORD0034,Spice Villa,American,17-01-2022,13:08,41,1389.15,Debit Card,3.9,Hyderabad
ORD0035,Curry Delight,Japanese,18-01-2022,18:55,32,1230.54,Debit Card,2.5,Chennai
ORD0036,Curry Delight,Italian,18-01-2022,21:28,60,418.98,Credit Card,3.6,Hyderabad
ORD0037,Curry Delight,Japanese,19-01-2022,19:52,19,1969.49,Cash,2.2,Mumbai
ORD0038,Sushi World,Japanese,19-01-2022,19:04,32,1577.33,Wallet,3,Kolkata
ORD0039,Pasta Paradise,Mexican,20-01-2022,11:23,53,1231.63,UPI,1.8,Delhi
ORD0040,Sushi World,Chinese,20-01-2022,13:13,28,773.66,Credit Card,1.3,Hyderabad
ORD0041,Pizza Plaza,American,21-01-2022,12:22,51,1284.57,Credit Card,4.6,Chennai
ORD0042,Sushi World,Chinese,21-01-2022,10:09,25,313.57,Cash,2.7,Bangalore
ORD0043,Sushi World,Chinese,22-01-2022,18:18,40,1565,Debit Card,2,Bangalore
ORD0044,Sushi World,Italian,22-01-2022,14:44,38,1087.21,UPI,1.1,Kolkata
ORD0045,Curry Delight,Italian,23-01-2022,12:01,46,1928.64,UPI,4.3,Chennai
ORD0046,Burger Town,American,23-01-2022,16:25,59,610.49,Credit Card,4.3,Chennai
ORD0047,Pasta Paradise,Mexican,24-01-2022,18:11,37,870.51,Credit Card,4.4,Delhi
ORD0048,Burger Town,Italian,24-01-2022,15:37,23,1191.42,Cash,1.1,Mumbai
